Nome,Simbolo,Data,Maximo,Minimo,Abertura,Fechamento,Volume,Cap. de Mercado
Ethereum,ETH,2016-08-02,11.137200355529783,8.200980186462402,10.94849967956543,8.787280082702637,88803296.0,725809584.347
Ethereum,ETH,2016-08-03,10.41800022125244,8.876799583435059,8.876799583435059,10.293899536132812,53979400.0,850578647.472
Ethereum,ETH,2016-08-04,11.291199684143066,10.156399726867676,10.310999870300291,11.042799949645996,38151400.0,912823134.621
Ethereum,ETH,2016-08-05,11.176400184631348,10.76319980621338,11.019000053405762,10.925399780273438,15487900.0,903471434.653
Ethereum,ETH,2016-08-06,10.937600135803224,10.285799980163574,10.91670036315918,10.881099700927734,16712600.0,900151687.913
Ethereum,ETH,2016-08-07,11.089599609375,10.779999732971191,10.85919952392578,10.91160011291504,16551000.0,903026897.053
Ethereum,ETH,2016-08-08,11.328800201416016,10.859000205993652,10.91349983215332,11.245400428771973,14956700.0,931013385.467
Ethereum,ETH,2016-08-09,12.45460033416748,11.199999809265137,11.2746000289917,12.24429988861084,36656600.0,1014113083.85
Ethereum,ETH,2016-08-10,12.457799911499023,11.982500076293944,12.2298002243042,12.143199920654297,28096300.0,1006130317.88
Ethereum,ETH,2016-08-11,12.27239990234375,11.63379955291748,12.13819980621338,11.690899848937988,17505000.0,969030730.876
Ethereum,ETH,2016-08-12,12.041600227355955,11.63510036468506,11.688899993896484,11.778499603271484,13690100.0,976670290.455
Ethereum,ETH,2016-08-13,11.791099548339844,11.511799812316896,11.770400047302246,11.57129955291748,7539490.0,959859185.554
Ethereum,ETH,2016-08-14,11.694600105285645,11.09910011291504,11.58329963684082,11.19480037689209,8680160.0,928985641.731
Ethereum,ETH,2016-08-15,11.310799598693848,11.000100135803224,11.201700210571287,11.21840000152588,7500840.0,931306989.223
Ethereum,ETH,2016-08-16,11.237299919128418,11.002799987792969,11.228699684143066,11.139699935913086,7051510.0,925130735.406
Ethereum,ETH,2016-08-17,11.154800415039062,10.748600006103516,11.13319969177246,10.752799987792969,8833760.0,893343056.118
Ethereum,ETH,2016-08-18,11.009099960327148,10.744799613952637,10.7475004196167,10.756099700927734,6935800.0,893970119.488
Ethereum,ETH,2016-08-19,10.80109977722168,10.727899551391602,10.746299743652344,10.748700141906738,5390850.0,893697474.164
Ethereum,ETH,2016-08-20,11.300700187683104,10.749099731445312,10.750100135803224,11.247400283813477,7443540.0,935523907.579
Ethereum,ETH,2016-08-21,11.25380039215088,10.993900299072266,11.253299713134766,11.179200172424316,4355660.0,930217061.1
Ethereum,ETH,2016-08-22,11.340800285339355,11.074999809265137,11.185099601745604,11.12090015411377,6588920.0,925725247.441
Ethereum,ETH,2016-08-23,11.229999542236328,10.89799976348877,11.13700008392334,11.030599594116213,6489380.0,918563334.329
Ethereum,ETH,2016-08-24,11.154600143432615,11.009499549865724,11.024299621582031,11.03600025177002,4423420.0,919368975.499
Ethereum,ETH,2016-08-25,11.38510036468506,11.016799926757812,11.031299591064451,11.357399940490724,8552380.0,946508889.646
Ethereum,ETH,2016-08-26,11.44540023803711,11.211299896240234,11.352399826049805,11.29539966583252,5857850.0,941701926.491
Ethereum,ETH,2016-08-27,11.293999671936035,11.13949966430664,11.293999671936035,11.148200035095217,15108400.0,929789646.032
Ethereum,ETH,2016-08-28,11.147000312805176,10.920000076293944,11.147000312805176,10.92930030822754,5303040.0,911883241.028
Ethereum,ETH,2016-08-29,11.146200180053713,10.789799690246582,10.91510009765625,10.983799934387209,8130540.0,916781160.508
Ethereum,ETH,2016-08-30,11.303600311279297,10.958800315856934,10.99209976196289,11.228899955749512,7221260.0,937596563.15
Ethereum,ETH,2016-08-31,11.68019962310791,11.183899879455566,11.23859977722168,11.67240047454834,11073700.0,975003119.29
Ethereum,ETH,2016-09-01,12.581500053405762,11.648500442504885,11.670499801635742,11.99489974975586,24051500.0,1002322693.97
Ethereum,ETH,2016-09-02,12.313300132751465,11.882399559020996,11.964200019836426,12.11299991607666,9368300.0,1012583470.2
Ethereum,ETH,2016-09-03,12.36359977722168,11.347200393676758,12.112899780273438,11.758700370788574,13358800.0,983336326.132
Ethereum,ETH,2016-09-04,11.79360008239746,11.473899841308594,11.75409984588623,11.67990016937256,7220550.0,977118527.241
Ethereum,ETH,2016-09-05,11.806599617004396,11.593999862670898,11.680500030517578,11.717000007629396,5724100.0,980599518.242
Ethereum,ETH,2016-09-06,11.728400230407717,11.472800254821776,11.7253999710083,11.68910026550293,6346330.0,978635237.847
Ethereum,ETH,2016-09-07,11.726300239562988,11.515000343322754,11.694499969482422,11.547900199890137,6115050.0,967186182.081
Ethereum,ETH,2016-09-08,11.70139980316162,11.252400398254396,11.54580020904541,11.34589958190918,11535000.0,950629713.965
Ethereum,ETH,2016-09-09,11.68000030517578,11.386899948120115,11.412500381469728,11.652799606323242,6109200.0,976718523.856
Ethereum,ETH,2016-09-10,12.215100288391112,11.543700218200684,11.66230010986328,12.168499946594238,7220300.0,1020331771.3
Ethereum,ETH,2016-09-11,12.207900047302246,11.589699745178224,12.207900047302246,11.638400077819824,8791180.0,976259355.847
Ethereum,ETH,2016-09-12,11.946999549865724,11.61359977722168,11.642999649047852,11.893699645996094,7478080.0,998057810.215
Ethereum,ETH,2016-09-13,12.085599899291992,11.880800247192385,11.888699531555176,11.918700218200684,11704300.0,1000535934.04
Ethereum,ETH,2016-09-14,11.997200012207031,11.855899810791016,11.904600143432615,11.923199653625488,5694820.0,1001301306.4
Ethereum,ETH,2016-09-15,12.13539981842041,11.922699928283691,11.943099975585938,11.937000274658203,7309090.0,1002844845.01
Ethereum,ETH,2016-09-16,12.748600006103516,11.902899742126465,11.959600448608398,12.555800437927246,17421500.0,1055235486.66
Ethereum,ETH,2016-09-17,12.762999534606934,12.442399978637695,12.558199882507324,12.698599815368652,7446610.0,1067645132.84
Ethereum,ETH,2016-09-18,12.987299919128418,12.155500411987305,12.686400413513184,12.43120002746582,22433300.0,1045462817.11
Ethereum,ETH,2016-09-19,13.189000129699709,12.417499542236328,12.435999870300291,13.189000129699709,13838800.0,1109717807.16
Ethereum,ETH,2016-09-20,14.430299758911133,13.119799613952637,13.213899612426758,14.430299758911133,31929100.0,1214629780.18
Ethereum,ETH,2016-09-21,14.434100151062012,13.17020034790039,14.434100151062012,13.768500328063965,28645000.0,1159365902.45
Ethereum,ETH,2016-09-22,13.664999961853027,12.478599548339844,13.664999961853027,13.247599601745604,27382800.0,1115922935.87
Ethereum,ETH,2016-09-23,13.446900367736816,13.10159969329834,13.208000183105469,13.331299781799316,9166430.0,1123430817.74
Ethereum,ETH,2016-09-24,13.343000411987305,12.681699752807615,13.32229995727539,12.877900123596191,9824880.0,1085651020.86
Ethereum,ETH,2016-09-25,13.107500076293944,12.797499656677246,12.852499961853027,13.100899696350098,5283440.0,1104901553.18
